person_id,person_name,age,sex,filepath
14393,MaryPickford,27,f,14393_MaryPickford_27_f.jpg
14672,ClaudetteColbert,41,f,14672_ClaudetteColbert_41_f.jpg
9657,BoDerek,42,f,9657_BoDerek_42_f.jpg
6130,DanaAndrews,15,m,6130_DanaAndrews_15_m.jpg
11504,JulieChristie,24,f,11504_JulieChristie_24_f.jpg
3089,BruceWillis,49,m,3089_BruceWillis_49_m.jpg
5014,WarrenBeatty,64,m,5014_WarrenBeatty_64_m.jpg
1322,AlbertCamus,34,m,1322_AlbertCamus_34_m.jpg
14784,ShelleyWinters,76,f,14784_ShelleyWinters_76_f.jpg
11867,BarbaraBouchet,57,f,11867_BarbaraBouchet_57_f.jpg
9265,VittorioGassman,73,m,9265_VittorioGassman_73_m.jpg
9860,KimNovak,31,f,9860_KimNovak_31_f.jpg
1353,BertrandRussell,50,m,1353_BertrandRussell_50_m.jpg
12353,MyrnaLoy,35,f,12353_MyrnaLoy_35_f.jpg
4405,RobertPowell,28,m,4405_RobertPowell_28_m.jpg
9210,RobertMitchum,50,m,9210_RobertMitchum_50_m.jpg
2241,RayLiotta,50,m,2241_RayLiotta_50_m.jpg
13754,RitaHayworth,22,f,13754_RitaHayworth_22_f.jpg
15112,CatherineSchell,27,f,15112_CatherineSchell_27_f.jpg
8584,DavidCarradine,35,m,8584_DavidCarradine_35_m.jpg
4551,Fernandel,30,m,4551_Fernandel_30_m.jpg
1937,EdwardFox,73,m,1937_EdwardFox_73_m.jpg
1405,SartreJeanPaul,63,m,1405_SartreJeanPaul_63_m.jpg
10239,KathyBates,60,f,10239_KathyBates_60_f.jpg
12036,DebbieReynolds,42,f,12036_DebbieReynolds_42_f.jpg
15104,BonnieHunt,49,f,15104_BonnieHunt_49_f.jpg
10460,BetteMidler,41,f,10460_BetteMidler_41_f.jpg
7971,GilbertRoland,77,m,7971_GilbertRoland_77_m.jpg
14597,JenniferJones,27,f,14597_JenniferJones_27_f.jpg
7296,LeifErickson,60,m,7296_LeifErickson_60_m.jpg
16076,WillSmith ,42,m,16076_WillSmith _42_m.jpg
1371,BertrandRussell,88,m,1371_BertrandRussell_88_m.jpg
1374,GiorgosSeferis,43,m,1374_GiorgosSeferis_43_m.jpg
14049,JudyGarland,38,f,14049_JudyGarland_38_f.jpg
1765,TomHanks,31,m,1765_TomHanks_31_m.jpg
10806,PeggyLipton,38,f,10806_PeggyLipton_38_f.jpg
9615,KostasXatzixristos,68,m,9615_KostasXatzixristos_68_m.jpg
12981,ClaudiaCardinale,26,f,12981_ClaudiaCardinale_26_f.jpg
16407,Ross,63,f,16407_Ross_63_f.jpg
8564,CliffRobertson,73,m,8564_CliffRobertson_73_m.jpg
357,JPMorgan,38,m,357_JPMorgan_38_m.jpg
11185,MonicaVitti,32,f,11185_MonicaVitti_32_f.jpg
2110,MelBrooks,58,m,2110_MelBrooks_58_m.jpg
13293,AmandaRedman,51,f,13293_AmandaRedman_51_f.jpg
8874,CharltonHeaston,38,m,8874_CharltonHeaston_38_m.jpg
9875,LauraDern,20,f,9875_LauraDern_20_f.jpg
